Balance of Payments by Indicator (BPM6),,,,,,,,,,,
Percent of GDP,,,,,,,,,,,
,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,,,
Egypt,28.64,27.89,26.56,27.02,23.78,21.34,19.18,...,,,
"Iran, I.R. of",...,...,...,...,...,...,...,...,,,
Iraq,46.35,40.29,32.87,34.13,31.43,31.12,27.89,...,,,
Jordan,69.10,66.32,73.86,74.26,71.95,69.74,60.49,55.87,,,
Kuwait,30.45,30.63,27.01,26.05,26.74,31.46,44.84,...,,,
Lebanon,82.97,78.66,77.07,70.94,68.88,...,...,...,,,
Libya,39.32,...,...,...,...,...,...,...,,,
Mauritania,...,...,...,79.24,73.44,67.22,54.61,...,,,
Morocco,37.60,39.69,45.29,47.84,44.39,45.33,40.74,43.62,,,
Oman,44.51,41.33,43.03,45.08,53.00,46.77,52.67,47.10,,,
Pakistan,21.76,22.93,22.28,22.78,22.32,20.54,18.17,18.26,,,
Qatar,...,...,26.10,29.27,29.67,31.04,36.00,41.63,,,
Saudi Arabia,37.77,33.07,29.57,29.32,30.90,34.36,38.28,31.04,,,
Sudan,16.51,16.17,15.75,15.02,14.93,12.39,10.49,...,,,
Syrian Arab Republic,7.43,8.11,...,...,...,...,...,...,,,
Tunisia,48.30,55.03,56.32,58.38,56.83,56.32,51.39,...,,,
United Arab Emirates,...,...,...,...,...,...,...,...,,,
West Bank and Gaza,...,...,...,...,...,...,...,...,,,
"Yemen, Republic of",35.10,34.39,34.45,42.70,37.53,44.82,...,...,,,
Sub-Saharan Africa,...,...,...,...,...,...,...,...,,,
CEMAC (incl. BEAC hqtrs.),...,...,...,...,...,...,...,...,,,
Cameroon,26.66,26.97,30.89,30.82,29.91,30.16,27.40,...,,,
Central African Rep.,...,...,...,...,...,...,...,...,,,
Chad,...,...,...,...,...,...,...,...,,,
"Congo, Rep. of",73.70,59.40,53.87,51.00,51.30,64.91,...,...,,,
Equatorial Guinea,...,...,...,...,...,...,...,...,,,
Gabon,...,...,...,...,...,...,...,...,,,
WAEMU (Incl. BCEAO hqtrs.),...,...,...,...,...,...,...,...,,,
Benin,33.92,34.90,31.61,34.30,40.38,46.65,33.77,...,,,
Burkina Faso,23.20,28.47,32.75,34.70,39.24,34.53,...,...,,,
Côte d'Ivoire,39.90,43.30,36.65,44.26,38.52,35.49,35.37,...,,,
Guinea Bissau,34.98,35.23,30.80,23.72,23.32,27.45,33.25,...,,,
Mali,31.37,39.84,36.17,38.23,48.24,45.59,...,...,,,
Niger,46.86,49.09,47.79,39.37,39.08,39.20,41.28,...,,,
Senegal,41.14,40.22,44.67,48.86,48.82,46.16,...,...,,,
Togo,50.21,53.37,66.37,58.85,68.52,57.66,60.36,...,,,
Angola,59.43,42.27,39.27,35.80,36.13,36.74,32.98,...,,,
Botswana,52.99,51.03,52.24,59.64,60.83,53.88,54.51,42.85,,,
Burundi,29.27,29.86,34.23,39.76,37.27,32.43,29.37,...,,,
Cabo Verde,63.23,66.92,73.64,68.79,62.61,66.40,57.50,62.39,,,
Comoros,47.38,49.93,50.29,53.97,...,...,...,...,,,
"Congo, Dem. Rep. of",37.05,49.40,45.69,37.56,41.02,43.97,33.98,...,,,
Eritrea,...,...,...,...,...,...,...,...,,,
Ethiopia,31.75,37.29,38.22,33.47,30.55,33.53,32.97,28.31,,,
"Gambia, The",38.38,33.87,40.79,43.77,40.30,52.73,48.21,...,,,
Ghana,42.30,43.28,49.30,52.45,47.06,49.24,55.64,47.99,,,
Guinea,11.56,14.90,38.43,43.01,35.24,...,...,...,,,
Kenya,30.53,33.83,38.92,35.54,33.21,33.03,27.88,...,,,
Lesotho,108.03,100.90,94.68,101.03,89.26,85.35,87.74,...,,,
Liberia,...,...,...,...,...,...,...,...,,,
Madagascar,45.01,38.49,37.33,38.63,37.67,36.64,35.09,...,,,
Malawi,36.14,37.97,36.01,44.65,56.01,50.53,37.69,...,,,
Mauritius,57.85,63.13,65.66,65.94,61.61,62.11,58.78,52.98,,,
Mozambique,40.93,46.54,58.02,81.24,77.31,68.44,71.62,...,,,
Namibia,56.99,53.24,50.38,54.06,54.18,59.88,61.95,58.45,,,
Nigeria,29.19,19.20,21.93,17.55,14.89,15.08,14.85,11.58,,,
Rwanda,...,28.41,33.70,32.57,32.06,33.20,35.70,36.96,,,
São Tomé & Príncipe,...,...,...,...,...,...,...,...,,,
Seychelles,117.01,108.02,110.80,124.76,109.63,104.85,104.21,...,,,
Sierra Leone,30.55,43.92,84.41,65.65,45.94,57.28,52.90,...,,,
South Africa,29.10,28.29,29.65,31.60,33.27,33.06,31.64,30.34,,,
South Sudan,...,...,...,...,...,33.57,40.00,...,,,
Swaziland,64.60,57.18,42.09,41.14,41.29,43.19,35.61,...,,,
Tanzania,26.44,28.83,35.53,32.43,30.44,28.18,27.42,...,,,
Uganda,27.44,31.20,34.00,31.23,29.64,27.56,29.97,...,,,
Zambia,32.01,27.62,30.82,37.26,41.42,38.36,42.52,...,,,
Zimbabwe,...,...,...,...,...,...,...,...,,,
Western Hemisphere,...,...,...,...,...,...,...,...,,,
ECCU (incl. ECCB hqtrs.),...,...,...,...,...,...,...,...,,,
Anguilla,77.40,69.66,62.99,65.99,65.20,81.24,71.86,...,,,
Antigua and Barbuda,58.02,59.14,56.19,56.55,59.70,72.22,62.61,...,,,
Dominica,53.01,53.57,52.81,51.70,48.91,63.95,60.84,...,,,
